08/02/2025 22:03:30 - INFO - __main__ -   ########## Repeat:0 ##########
08/02/2025 22:03:30 - INFO - utils.trainer -   ***** Running training *****
08/02/2025 22:03:30 - INFO - utils.trainer -     Num examples = 6
08/02/2025 22:03:30 - INFO - utils.trainer -     Num Epochs = 200
08/02/2025 22:03:30 - INFO - utils.trainer -     Total train batch size = 16
08/02/2025 22:03:30 - INFO - utils.trainer -     warmup steps = 400
08/02/2025 22:03:30 - INFO - utils.trainer -     Total optimization steps = 1200
08/02/2025 22:03:30 - INFO - utils.trainer -     Save steps = 200
08/02/2025 22:03:30 - INFO - root -   Parameters [normal] length [10]
08/02/2025 22:03:31 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/02/2025 22:03:31 - INFO - utils.trainer -   AUC: 0.54613
08/02/2025 22:03:31 - INFO - utils.trainer -   Accuracy: 0.53846
08/02/2025 22:03:31 - INFO - utils.trainer -   Precision: 0.53846
08/02/2025 22:03:31 - INFO - utils.trainer -   Recall: 1.00000
08/02/2025 22:03:31 - INFO - utils.trainer -   F_score: 0.70000
08/02/2025 22:03:31 - INFO - utils.trainer -   Specificity: 0.00000
08/02/2025 22:03:31 - INFO - utils.trainer -   Sensitivity: 1.00000
08/02/2025 22:03:31 - INFO - utils.trainer -   Loss: 0.66556
08/02/2025 22:03:31 - INFO - utils.trainer -    Train loss: 0.73139, Test loss: 0.66556,Epoch time = 0.592s
08/02/2025 22:03:31 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/02/2025 22:03:32 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/02/2025 22:03:32 - INFO - utils.trainer -   AUC: 0.55357
08/02/2025 22:03:32 - INFO - utils.trainer -   Accuracy: 0.53846
08/02/2025 22:03:32 - INFO - utils.trainer -   Precision: 0.53846
08/02/2025 22:03:32 - INFO - utils.trainer -   Recall: 1.00000
08/02/2025 22:03:32 - INFO - utils.trainer -   F_score: 0.70000
08/02/2025 22:03:32 - INFO - utils.trainer -   Specificity: 0.00000
08/02/2025 22:03:32 - INFO - utils.trainer -   Sensitivity: 1.00000
08/02/2025 22:03:32 - INFO - utils.trainer -   Loss: 0.66881
08/02/2025 22:03:32 - INFO - utils.trainer -    Train loss: 0.68156, Test loss: 0.66881,Epoch time = 0.421s
08/02/2025 22:03:32 - INFO - utils.trainer -   Saving model checkpoint to output_dir/SteadyNet
08/02/2025 22:03:32 - INFO - utils.trainer -   ***** Running evaluation on test0 dataset *****
08/02/2025 22:03:33 - INFO - utils.trainer -   AUC: 0.54539
08/02/2025 22:03:33 - INFO - utils.trainer -   Accuracy: 0.53846
08/02/2025 22:03:33 - INFO - utils.trainer -   Precision: 0.53846
08/02/2025 22:03:33 - INFO - utils.trainer -   Recall: 1.00000
08/02/2025 22:03:33 - INFO - utils.trainer -   F_score: 0.70000
